Database,Nodes,Relationships,Load Time(s),Relationships/sec,Traversal1HopP50(ms),Traversal1HopP95(ms),Traversal2HopP50(ms),Traversal2HopP95(ms),Traversal3HopP50(ms),Traversal3HopP95(ms),LookupP50(ms),LookupP95(ms),AggregationP50(ms),AggregationP95(ms),MixedWorkload
CognoDB,,508000,,,1075.030,1618.784,,,,,902.682,1409.763,319.959,421.918,Completed
Neo4j Aura,,400000,,,413.829,701.202,,,,,413.939,718.284,279.022,331.508,Completed
Memgraph,,508837,8871.80,57.35,504.614,1077.575,499.740,982.208,620.487,6249.831,479.467,1020.467,298.543,401.395,Completed
FalkorDB,,,,,,,,,,,,,,,Not Completed
Apache AGE,,,,,,,,,,,,,,,Not Tested
